DATE,pred,ci_lower,ci_upper,pred_acc,pred_vel,country,ISO,npi_stringency_index,tests_new_per_thousand,stats_population_density,stats_population_urban,country_name,infections_var,risk_index,latitude,longitude
2020-02-29,0.0,0.0,117.08298049969771,-0.02382443156042153,-0.7832639763550938,belgium,BEL,11.11,,375.564,3081719.0,Belgium,0.0,-0.04444,50.6402809,4.6667145
2020-03-01,0.0,0.0,116.52172649712296,-0.029963968038856283,-0.5580531677856098,belgium,BEL,11.11,0.005,375.564,3081719.0,Belgium,0.0,-0.04444,50.6402809,4.6667145
2020-03-02,0.0,0.0,115.40475300091859,-0.0070084989319880294,-0.2957104980325187,belgium,BEL,11.11,0.023,375.564,3081719.0,Belgium,0.0,-0.04444,50.6402809,4.6667145
2020-03-03,0.0,0.0,116.80789707261418,-0.03318292546822747,-0.4709346477351866,belgium,BEL,11.11,0.041,375.564,3081719.0,Belgium,0.0,-0.04444,50.6402809,4.6667145
2020-03-04,0.0,0.0,118.5005235970717,-0.004184246311964925,-0.18529765000815557,belgium,BEL,13.89,0.056,375.564,3081719.0,Belgium,0.0,-0.05556,50.6402809,4.6667145
2020-03-05,0.0,0.0,115.74714806880044,-0.0022844544335239724,-0.11929745562050469,belgium,BEL,13.89,0.061,375.564,3081719.0,Belgium,0.0,-0.05556,50.6402809,4.6667145
2020-03-06,0.0,0.0,116.0265726154124,0.06425265754297567,0.49685560016921826,belgium,BEL,13.89,0.08900000000000001,375.564,3081719.0,Belgium,0.0,-0.05556,50.6402809,4.6667145
2020-03-07,0.5034963824696205,0.0,117.59513974260936,0.1157883149802767,1.546097570003598,belgium,BEL,13.89,0.035,375.564,3081719.0,Belgium,0.5034963824696205,0.24653782948177227,50.6402809,4.6667145
2020-03-08,4.786466319564101,0.0,122.84534189144023,0.19310214547427132,2.9825559269414454,belgium,BEL,13.89,0.035,375.564,3081719.0,Belgium,4.282969937094481,2.5142219622566886,50.6402809,4.6667145
2020-03-09,10.91668443373763,0.0,127.0832422319137,0.2405540463595878,4.0706191783874335,belgium,BEL,13.89,0.044,375.564,3081719.0,Belgium,6.1302181141735295,3.6225708685041176,50.6402809,4.6667145
2020-03-10,20.545075933037552,0.0,135.03633498822757,0.37258458637473296,6.6264440250341865,belgium,BEL,19.44,0.058,375.564,3081719.0,Belgium,9.628391499299921,5.699274899579953,50.6402809,4.6667145
2020-03-11,35.33361195812767,0.0,150.9224361686421,0.5724315230174017,10.113519517799531,belgium,BEL,19.44,0.079,375.564,3081719.0,Belgium,14.788536025090117,8.79536161505407,50.6402809,4.6667145
2020-03-12,56.94045169062276,0.0,172.59456601322776,0.8909915763490677,15.251835621243078,belgium,BEL,19.44,0.109,375.564,3081719.0,Belgium,21.60683973249509,12.886343839497053,50.6402809,4.6667145
2020-03-13,81.03081251696719,0.0,196.88564040132138,0.9323917478415386,16.98145475013074,belgium,BEL,23.15,0.182,375.564,3081719.0,Belgium,24.09036082634443,14.361616495806658,50.6402809,4.6667145
2020-03-14,104.09137681137146,0.0,219.55299307004782,0.8401209301892367,16.52596602950062,belgium,BEL,50.93,0.14800000000000002,375.564,3081719.0,Belgium,23.060564294404273,13.632618576642562,50.6402809,4.6667145
2020-03-15,124.29650641612716,8.335488476484272,240.25752435577004,0.6710163595281617,14.342295468946608,belgium,BEL,50.93,0.08900000000000001,375.564,3081719.0,Belgium,20.205129604755697,11.919357762853418,50.6402809,4.6667145
2020-03-16,143.20016199216593,30.348209672029938,256.0521143123019,0.6420430026222557,14.90517909339808,belgium,BEL,50.93,0.124,375.564,3081719.0,Belgium,18.903655576038773,11.138473345623263,50.6402809,4.6667145
2020-03-17,158.80235775337638,45.49002880142929,272.1146867053235,0.5843600355107352,14.962635338556092,belgium,BEL,50.93,0.153,375.564,3081719.0,Belgium,15.602195761210453,9.15759745672627,50.6402809,4.6667145
2020-03-18,178.6544427138896,62.481113926496576,294.82777150128265,1.0561901274742793,22.71026066150719,belgium,BEL,73.15,0.18,375.564,3081719.0,Belgium,19.852084960513224,11.618650976307935,50.6402809,4.6667145
2020-03-19,213.25388117129432,96.58572488566008,329.9220374569286,1.7587354427953839,35.03408218316376,belgium,BEL,73.15,0.217,375.564,3081719.0,Belgium,34.599438457404716,20.46706307444283,50.6402809,4.6667145
2020-03-20,257.2756793720926,140.2849632632421,374.2663954809431,1.9606894160254233,40.232197873680875,belgium,BEL,81.48,0.212,375.564,3081719.0,Belgium,44.02179820079829,26.08715892047897,50.6402809,4.6667145
2020-03-21,305.863850425888,186.9352540279074,424.79244682386866,1.7947488445852346,39.49223567467541,belgium,BEL,81.48,0.151,375.564,3081719.0,Belgium,48.588171053795406,28.826982632277243,50.6402809,4.6667145
2020-03-22,349.94515127202317,230.11674778853663,469.77355475550974,1.361416118445211,34.4460757170912,belgium,BEL,81.48,0.092,375.564,3081719.0,Belgium,44.08130084613515,26.12286050768109,50.6402809,4.6667145
2020-03-23,415.37882492626176,295.3370387432053,535.4206111093182,2.2196451327197257,49.37036223675514,belgium,BEL,81.48,0.21,375.564,3081719.0,Belgium,65.43367365423859,38.934284192543146,50.6402809,4.6667145
2020-03-24,488.4059772500225,367.61977163707945,609.1921828629655,2.7994310000012126,60.342242552021254,belgium,BEL,81.48,0.256,375.564,3081719.0,Belgium,73.02715232376073,43.490371394256435,50.6402809,4.6667145
2020-03-25,571.3267570816428,451.9170873820855,690.7364267812,3.812792636721548,77.84687084735168,belgium,BEL,81.48,0.281,375.564,3081719.0,Belgium,82.92077983162028,49.42654789897216,50.6402809,4.6667145
2020-03-26,687.8200348256711,570.0032530978823,805.6368165534599,5.439066077618704,106.23173413498523,belgium,BEL,81.48,0.27,375.564,3081719.0,Belgium,116.49327774402832,69.570046646417,50.6402809,4.6667145
2020-03-27,815.2472182352811,698.3825619012658,932.1118745692964,5.198078358955336,108.45632659207487,belgium,BEL,81.48,0.317,375.564,3081719.0,Belgium,127.42718340961005,76.13039004576603,50.6402809,4.6667145
2020-03-28,936.2673613416952,819.3387708634522,1053.195951819938,3.7497814278885713,91.89251332967784,belgium,BEL,81.48,0.251,375.564,3081719.0,Belgium,121.02014310641403,72.28616586384841,50.6402809,4.6667145
2020-03-29,1009.6501151482421,893.7705120004996,1125.5297182959846,1.7657700951699342,64.34645305951706,belgium,BEL,81.48,0.158,375.564,3081719.0,Belgium,73.38275380654693,43.703732283928154,50.6402809,4.6667145
2020-03-30,1168.8732305620304,1054.4957770712117,1283.250684052849,6.646040700136735,140.89215038947256,belgium,BEL,81.48,0.258,375.564,3081719.0,Belgium,159.22311541378826,95.20794924827295,50.6402809,4.6667145
2020-03-31,1349.5957038864537,1236.0376184041681,1463.1537893687394,7.898312487851902,167.64138946514407,belgium,BEL,81.48,0.397,375.564,3081719.0,Belgium,180.7224733244234,108.10756399465403,50.6402809,4.6667145
2020-04-01,1514.0326283067777,1399.5285067006773,1628.5367499128781,7.82270756814619,174.80117130056883,belgium,BEL,81.48,0.349,375.564,3081719.0,Belgium,164.43692442032398,98.33623465219439,50.6402809,4.6667145
2020-04-02,1698.4226800752547,1582.376057159043,1814.4693029914663,8.114568023775384,186.30135487770164,belgium,BEL,81.48,0.362,375.564,3081719.0,Belgium,184.39005176847695,110.30811106108617,50.6402809,4.6667145
