DATE,pred,ci_lower,ci_upper,pred_acc,pred_vel,country,npi_stringency_index,tests_new_per_thousand,stats_population_density,stats_population_urban,stats_population,infections_var,risk_index,latitude,longitude
2020-03-01,10.761367698698871,0.0,128.13321196951213,-0.027664204901181166,-0.16809496166305182,GBR,11.11,,272.898,17831615.0,67886004.0,-0.06827745473236246,0.4786613510279773,53.317942099999996,-60.46424991856307
2020-03-02,10.390099940845154,0.0,131.34838389585687,-0.07451471419883376,-0.3084475945892269,GBR,11.11,,272.898,17831615.0,67886004.0,-0.034500053176196754,0.4837207479922568,53.317942099999996,-60.46424991856307
2020-03-03,10.190432184077372,0.0,129.34757768108378,-0.11280516590038922,-0.3832819358024455,GBR,11.11,,272.898,17831615.0,67886004.0,-0.019217116091718833,0.4860110842849015,53.317942099999996,-60.46424991856307
2020-03-04,9.983525748813726,0.0,128.5574007468726,-0.09904385672083446,-0.6013024193782058,GBR,11.11,,272.898,17831615.0,67886004.0,-0.020303990206317124,0.48584818227364346,53.317942099999996,-60.46424991856307
2020-03-05,10.808297889417355,0.0,130.16300872174412,-0.05639471537581012,-0.031946715052091304,GBR,11.11,,272.898,17831615.0,67886004.0,0.08261331330783928,0.5012819941868727,53.317942099999996,-60.46424991856307
2020-03-06,12.36563649057751,0.0,131.8103998028646,-0.02377912024004093,0.3918177607066969,GBR,11.11,,272.898,17831615.0,67886004.0,0.14408731301576894,0.510501552358833,53.317942099999996,-60.46424991856307
2020-03-07,14.635285146857674,0.0,135.8155247961456,0.038428601738146384,1.2562691240774881,GBR,11.11,,272.898,17831615.0,67886004.0,0.18354483070965366,0.5164158224912198,53.317942099999996,-60.46424991856307
2020-03-08,19.70664518615307,0.0,141.3282368396359,0.1723086464468322,3.330569658446247,GBR,11.11,,272.898,17831615.0,67886004.0,0.3465159707109815,0.5407766322242263,53.317942099999996,-60.46424991856307
2020-03-09,27.384736529866625,0.0,148.95189192608498,0.28927186230322105,5.181185777614731,GBR,11.11,,272.898,17831615.0,67886004.0,0.38961940356588887,0.5471920223983063,53.317942099999996,-60.46424991856307
2020-03-10,39.00622563221751,0.0,158.63737177135704,0.4177911096237351,7.689852041931181,GBR,11.11,,272.898,17831615.0,67886004.0,0.42437834264631813,0.5523541488495882,53.317942099999996,-60.46424991856307
2020-03-11,57.26246698004297,0.0,176.4093742191278,0.7257357928527398,12.787888289141367,GBR,11.11,,272.898,17831615.0,67886004.0,0.4680340394879574,0.5588214697257482,53.317942099999996,-60.46424991856307
2020-03-12,84.52502212460062,0.0,202.37962968027097,1.1173942906064926,19.370209217786076,GBR,11.11,,272.898,17831615.0,67886004.0,0.47609815962101587,0.560014005070924,53.317942099999996,-60.46424991856307
2020-03-13,124.25476814452372,8.359228548284904,240.15030774076254,1.6433769347161613,28.56110013609761,GBR,11.11,,272.898,17831615.0,67886004.0,0.4700353223375251,0.5591174865881073,53.317942099999996,-60.46424991856307
2020-03-14,176.08888543194124,57.68080596625107,294.4969648976314,2.1553081203477684,38.02661946698752,GBR,11.11,,272.898,17831615.0,67886004.0,0.4171599855800141,0.5512830252137266,53.317942099999996,-60.46424991856307
2020-03-15,245.19834421735996,125.04593698220064,365.35075145251926,2.870073828297233,50.645181724054254,GBR,11.11,,272.898,17831615.0,67886004.0,0.39246917041865026,0.5476156451329596,53.317942099999996,-60.46424991856307
2020-03-16,329.6491649807483,212.98513473018664,446.31319523131,3.318836823760624,61.309946459840354,GBR,14.81,,272.898,17831615.0,67886004.0,0.34441839741187485,0.5367861700579227,53.317942099999996,-60.46424991856307
2020-03-17,425.38218703854756,309.4297250570921,541.334649020003,3.743756151445905,71.01500042812391,GBR,20.37,,272.898,17831615.0,67886004.0,0.29040881102608007,0.5231747050728061,53.317942099999996,-60.46424991856307
2020-03-18,533.9048484037413,414.7030704918832,653.1066263155994,4.271941866584107,82.73836246168082,GBR,20.37,,272.898,17831615.0,67886004.0,0.2551180201519807,0.5178900627634463,53.317942099999996,-60.46424991856307
2020-03-19,662.3294588948523,542.6238351764487,782.035082613256,5.318252268674181,102.45039308893263,GBR,20.37,,272.898,17831615.0,67886004.0,0.24053838595973143,0.5157055894636347,53.317942099999996,-60.46424991856307
2020-03-20,812.4399896724044,691.0662469080917,933.8137324367171,6.338228071117204,122.8682942125823,GBR,20.37,,272.898,17831615.0,67886004.0,0.22664027511024964,0.5136226690237087,53.317942099999996,-60.46424991856307
2020-03-21,1032.6173520192272,913.8074796558371,1151.4272243826172,9.994885972422834,184.123866630996,GBR,29.63,,272.898,17831615.0,67886004.0,0.27100753919757636,0.5110193463127849,53.317942099999996,-60.46424991856307
2020-03-22,1328.1814947270034,1208.857483482665,1447.5055059713418,13.265524563501247,243.67429293052388,GBR,35.19,,272.898,17831615.0,67886004.0,0.28622813874841113,0.5077436016132594,53.317942099999996,-60.46424991856307
2020-03-23,1684.207094950296,1566.5341321465717,1801.8800577540205,15.15478633300962,286.247005684744,GBR,70.37,,272.898,17831615.0,67886004.0,0.2680549319778551,0.46987477210457634,53.317942099999996,-60.46424991856307
2020-03-24,2122.474994716208,2005.603411397545,2239.3465780348715,17.8537941924451,344.5087427752166,GBR,70.37,,272.898,17831615.0,67886004.0,0.2602220956555501,0.46870427964581834,53.317942099999996,-60.46424991856307
2020-03-25,2689.466163481726,2571.894837026699,2807.0374899367534,23.071166990166816,443.5556779410663,GBR,70.37,,272.898,17831615.0,67886004.0,0.26713679556980097,0.4697375538654814,53.317942099999996,-60.46424991856307
2020-03-26,3414.6241925276386,3297.73809338348,3531.510291671797,29.35361851676858,561.1875551698602,GBR,75.93,,272.898,17831615.0,67886004.0,0.26962898395685264,0.4645738073350126,53.317942099999996,-60.46424991856307
2020-03-27,4273.379753199924,4155.5914390697135,4391.168067330135,36.16055026701766,691.9637714183588,GBR,75.93,,272.898,17831615.0,67886004.0,0.25149343302596394,0.4618682005942668,53.317942099999996,-60.46424991856307
2020-03-28,5322.597024178288,5206.654386754808,5438.539661601768,44.82637031895784,859.7305225516249,GBR,75.93,,272.898,17831615.0,67886004.0,0.24552399542603376,0.4609781153289979,53.317942099999996,-60.46424991856307
2020-03-29,6556.306355674101,6438.3799804035425,6674.232730944659,50.756854684490214,996.1902344206972,GBR,75.93,,272.898,17831615.0,67886004.0,0.2317871005247245,0.4589308015120499,53.317942099999996,-60.46424991856307
2020-03-30,7973.198091939884,7850.09746887277,8096.298715006998,56.72804991732502,1139.3263866559178,GBR,75.93,,272.898,17831615.0,67886004.0,0.2161112765939539,0.4565962109798642,53.317942099999996,-60.46424991856307
2020-03-31,9606.134774047736,9485.265572766126,9727.003975329346,66.0778158832416,1339.9585696518516,GBR,75.93,,272.898,17831615.0,67886004.0,0.20480322491405167,0.454913287151492,53.317942099999996,-60.46424991856307
2020-04-01,11464.875974559342,11343.78408312594,11585.967865992743,76.2697100482314,1557.9205704003052,GBR,75.93,,272.898,17831615.0,67886004.0,0.19349522406590047,0.453231400194426,53.317942099999996,-60.46424991856307
2020-04-02,13647.856328969981,13529.632334495649,13766.080323444314,91.3644073227379,1858.7222204127927,GBR,75.93,,272.898,17831615.0,67886004.0,0.19040592844219972,0.4527721001321015,53.317942099999996,-60.46424991856307
2020-04-03,16278.783383664124,16159.35529877161,16398.211468556638,112.67940193358993,2276.0609971262884,GBR,75.93,,272.898,17831615.0,67886004.0,0.19277218277199593,0.45312389508900763,53.317942099999996,-60.46424991856307
2020-04-04,19447.808278062224,19329.860854571492,19565.755701552956,133.9358151115114,2713.0678647508907,GBR,75.93,,272.898,17831615.0,67886004.0,0.19467209678447106,0.4534063923683747,53.317942099999996,-60.46424991856307
2020-04-05,23128.78043655593,23010.562713054693,23246.99816005717,151.28707468352945,3111.6685467587477,GBR,75.93,,272.898,17831615.0,67886004.0,0.18927439564724446,0.4526038899258477,53.317942099999996,-60.46424991856307
2020-04-06,27234.73293323503,27116.25402348633,27353.211842983732,165.245973979677,3477.4247284635553,GBR,75.93,,272.898,17831615.0,67886004.0,0.1775256809559005,0.4508580085871843,53.317942099999996,-60.46424991856307
2020-04-07,31765.108960417518,31647.618612030474,31882.59930880456,177.92123286306938,3839.838286771558,GBR,75.93,,272.898,17831615.0,67886004.0,0.1663455279069026,0.4491977387697927,53.317942099999996,-60.46424991856307
2020-04-08,36793.66919240869,36674.783307997226,36912.55507682016,197.5132192476914,4322.701551576912,GBR,75.93,,272.898,17831615.0,67886004.0,0.1583045170176265,0.4480043336370279,53.317942099999996,-60.46424991856307
2020-04-09,42246.96505631867,42126.07543402028,42367.85467861707,219.29629448045824,4851.95766573031,GBR,75.93,,272.898,17831615.0,67886004.0,0.14821288508608732,0.4465074346281785,53.317942099999996,-60.46424991856307
2020-04-10,48145.86587919796,48027.89586851823,48263.83588987769,242.03687222976774,5408.341284853136,GBR,75.93,,272.898,17831615.0,67886004.0,0.13962898435462923,0.4452349403748217,53.317942099999996,-60.46424991856307
2020-04-11,54365.1967960264,54251.385695430145,54479.00789662266,252.27313180531056,5806.436753712931,GBR,75.93,,272.898,17831615.0,67886004.0,0.12917684214950587,0.44368646485147684,53.317942099999996,-60.46424991856307
2020-04-12,61115.22100334461,60999.722089503106,61230.719917186114,269.76950687206164,6328.894449075806,GBR,75.93,,272.898,17831615.0,67886004.0,0.12416076102223506,0.44294372336653937,53.317942099999996,-60.46424991856307
2020-04-13,68174.94762834438,68060.2980660455,68289.59719064325,273.7999597364908,6659.653267478537,GBR,75.93,,272.898,17831615.0,67886004.0,0.11551503061100643,0.44166413268579297,53.317942099999996,-60.46424991856307
